ano,sigla_uf,consumo_anual_uf,codarea
2021,RO,1584155,11
2021,AC,525328,12
2021,AM,2917092,13
2021,RR,502832,14
2021,PA,10345601,15
2021,AP,549809,16
2021,TO,1215001,17
2021,MA,3785998,21
2021,PI,1878765,22
2021,CE,6221163,23
2021,RN,3005395,24
2021,PB,2901199,25
2021,PE,7588842,26
2021,AL,2325486,27
2021,SE,1933659,28
2021,BA,13220546,29
2021,MG,28841064,31
2021,ES,5165082,32
2021,RJ,19900001,33
2021,SP,69148553,35
2021,PR,17337953,41
2021,SC,14199091,42
2021,RS,15681261,43
2021,MS,3183869,50
2021,MT,4697541,51
2021,GO,8365447,52
2021,DF,3144959,53
